tweet_id,created_at,author_id,username,name,text,likes,retweets,replies,quotes,impressions,lang,url
1997654232829161505,2025-12-07 13:07:38+00:00,2469550955,JayNtuli,🇿🇦Jay 𝕏,@MySoccerAfrica  @thomasmlambo @TKwenaite @coachsudesh @RealMamadouGaye @_Ruddie I totally agree with Uganda legend I forgot his name. Uganda might surprise many by coming out of their group at AFCON 2025. I watched their last game against Algeria. #SoccerAfrica #SSFootball,0,0,0,0,0,en,https://x.com/JayNtuli/status/1997654232829161505
1997654231336050966,2025-12-07 13:07:38+00:00,1046312155102887938,hokanewscom,HOKANEWS.COM,The Power of Choice in the Crypto Revolution: Why Pi Network Pioneers Are Shaping the Web3 Future  #pinetwork #picoin #coin #crypto  https://t.co/GgvoT7gsxX,0,0,0,0,0,en,https://x.com/hokanewscom/status/1997654231336050966
1997655760562426047,2025-12-07 13:13:42+00:00,971834293,Tenacious_Will,Wilson Davyes,"🚗Ford Ka in 2015: 6000€ 🚗Ford Ka in 2025: 1500€ - 1700€  🟠 2,2 BTC in 2015: 787€ 🟠 2,2 BTC in 2025: 168 980€  Study bitcoin. https://t.co/loiNQWY7fy",0,0,0,0,0,en,https://x.com/Tenacious_Will/status/1997655760562426047
1997655759887167856,2025-12-07 13:13:42+00:00,998028768726794241,meusjp_official,me;us,"【UPDATE INFO】 2025.12.27(SAT) Letters To You Vol.22 ~marina Birthday Party!!~ @渋谷THE RUBYROOM OPEN/START 18:00 DOOR: ¥2,000 (+1D)  ■ACOUSTIC LIVE chasedown JAWEYEMO CHASED 芋sodas me;us  ■DJ Kazu marina kazumabitch KAMIYA (SingalongTogether) Milky https://t.co/tUW7K1CmPo",0,0,0,0,0,en,https://x.com/meusjp_official/status/1997655759887167856
1997655759455162400,2025-12-07 13:13:42+00:00,1093130534811828225,Shinobilyrical1,Shinobilyricalassassin,"Crazy when you think it wasn't even that long ago Elon's  followers/fanbase was like 50% tech geeks and 50% suckups/asskissers and now its like 80% Right Wing/White Supremacist suckups/ass kissers and 20% everyday suckups/asskissers.  No, he isn't talking about Palestine or Sudan https://t.co/4tFe577sXn",0,0,0,0,0,en,https://x.com/Shinobilyrical1/status/1997655759455162400
1997655758301798881,2025-12-07 13:13:42+00:00,1657730883342815235,Jorun5765865119,jorun♡🇧🇻,Desember  2025 The blue houer  The time  it run so fast Take time to enjoy  the moment df https://t.co/gnp1BXwGdy,0,0,0,0,0,en,https://x.com/Jorun5765865119/status/1997655758301798881
1997655757555204380,2025-12-07 13:13:41+00:00,1676350661427073025,AklinClint60826,Clint Aklin,Breaking News! https://t.co/HPZ6LivreU,0,0,0,0,0,en,https://x.com/AklinClint60826/status/1997655757555204380
1997655757374841257,2025-12-07 13:13:41+00:00,1789016071141277696,josh_im_drunk,Batman,"@anthonytooshort @Harriii_son @EritreaLuv @cartierfamilyZ yes!!! 😭😭 higher IQ societies build better, housing, transport, sanitation, political systems, and morals!!! that’s why Somalia is still a shit hole in 2025 and Europe isn’t! you’re too dumb to understand that?? 😭",0,0,0,0,0,en,https://x.com/josh_im_drunk/status/1997655757374841257
1997655756733030469,2025-12-07 13:13:41+00:00,1487500756613681154,summeradvintage,Summer Advintage |,"Unsealed MOTS with PC  💸 V1 300 V2 350  Prio Payo (within 48 hrs) DOP December 20, 2025  Can extend dop with DP  Comment mine payo or dop  🏷️ wts lfb ph bts namjoon jin yoongi jhope jimin taehyung jungkook https://t.co/yWiAMnd4D1",0,0,1,0,3,en,https://x.com/summeradvintage/status/1997655756733030469
1997655756254883843,2025-12-07 13:13:41+00:00,1945530178462949376,mullenjff,Jeffrey Mullen,@its_The_Dr I'm sick of Black people targeting whites!  I am sick of special interest groups targeting white men in particular. I'm sick of weaponizing law and courts against white people! I'm sick of them creating a defensive wall of threatening racism lawsuits and inequality to the White,0,0,0,0,0,en,https://x.com/mullenjff/status/1997655756254883843
